Token,True Label,Predicted Label,Features
Indies,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
INDIES,I-LOC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=TO': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Indies,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
GRAND,I-MISC,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NN': 1.0}"
PRIX,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNS': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Grand,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
WINNERS,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=POS': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=NNP': 1.0}"
',I-MISC,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NNPS': 1.0, 'pos_tag=POS': 1.0, 'prev_pos_tag=NNS': 1.0}"
Winners,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=POS': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=NNP': 1.0}"
',I-MISC,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=POS': 1.0, 'prev_pos_tag=NNS': 1.0}"
stadium,I-LOC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=IN': 1.0, 'pos_tag=NN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Contractors,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=(': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=JJ': 1.0}"
JERSEY,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
RANGERS,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=DT': 1.0}"
ISLANDERS,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=DT': 1.0}"
DIVISION,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=<END>': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
JOSE,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
JERSEY,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Bay,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
York,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNS': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
YORK,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
JERSEY,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
ANTONIO,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
LAKERS,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=NNP': 1.0}"
CLIPPERS,I-ORG,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
STATE,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
JERSEY,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
YORK,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
STATE,I-LOC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=<END>': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
LAKERS,I-LOC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=<END>': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=NNP': 1.0}"
League,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=<END>': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
ENGLAND,I-ORG,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
JETS,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=DT': 1.0}"
GIANTS,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=DT': 1.0}"
BAY,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
ORLEANS,I-ORG,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=JJ': 1.0}"
BAY,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=<END>': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
ORLEANS,I-LOC,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=<END>': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=JJ': 1.0}"
DIEGO,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
BAY,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=<END>': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
ENGLAND,I-LOC,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=<END>': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=JJ': 1.0}"
CITY,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
STATE,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=POS': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
AWARD,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNPS': 1.0}"
Club,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=IN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
State,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=TO': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
State,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
State,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=JJ': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
II,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
II,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Munich,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=CD': 1.0}"
FC,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=CD': 1.0}"
04,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'contains_digit': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=CD': 1.0, 'prev_pos_tag=FW': 1.0}"
1860,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'contains_digit': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CD': 1.0, 'prev_pos_tag=NNP': 1.0}"
Munich,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=CD': 1.0}"
St.,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
SV,I-ORG,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=$': 1.0, 'prev_pos_tag=NNP': 1.0}"
St,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
II,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
St,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Munich,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=CD': 1.0}"
SLAM,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
',I-MISC,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=POS': 1.0, 'prev_pos_tag=NNP': 1.0}"
Coruna,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Madrid,I-ORG,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=JJ': 1.0}"
MADRID,I-ORG,B-LOC,"{'chunk_tag=B-VP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=VB': 1.0, 'prev_pos_tag=NNP': 1.0}"
Madrid,I-ORG,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=TO': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=JJ': 1.0}"
Madrid,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=JJ': 1.0}"
Madrid,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=JJ': 1.0}"
Madrid,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=JJ': 1.0}"
Madrid,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=JJ': 1.0}"
Bernabeu,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
stadium,I-LOC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Madrid-Barcelona,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Mundo,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Betis,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=JJ': 1.0}"
Sociedad,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=JJ': 1.0}"
Santander,I-ORG,B-ORG,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=VBG': 1.0}"
dello,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=DT': 1.0, 'prev_pos_tag=NNP': 1.0}"
Sport,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=DT': 1.0}"
',I-MISC,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=POS': 1.0, 'prev_pos_tag=NNP': 1.0}"
A,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNS': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Roma,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=(': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Cups,I-MISC,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
Milan,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=(': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
',I-MISC,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=POS': 1.0, 'prev_pos_tag=NNPS': 1.0}"
Madrid,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=(': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Belgrade,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=(': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Bologna,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=(': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
International,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
INTERNATIONAL,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
International,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Nations,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
Nations,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
Dnes,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=IN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
ROMANIA,I-ORG,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Romania,I-ORG,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Democratic,I-ORG,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=JJ': 1.0, 'prev_pos_tag=JJ': 1.0}"
